baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000006310.10	295.568810841114	-5.63962346193656	0.295787899808521	-19.0664441161636	4.79845255076795e-81	7.87822126331242e-79
ENSMUSG00000030168.13	2442.9549221936	-2.07841262077955	0.109202479155908	-19.0326505116446	9.15051982270087e-81	1.49052601237963e-78
ENSMUSG00000027377.2	378.071933854935	-7.05251721528812	0.370808972675827	-19.0192733589908	1.18109037802936e-80	1.90884505080418e-78
ENSMUSG00000052180.15	292.04907955386	-4.6998128147509	0.247504115505096	-18.9888269338864	2.1098920835512e-80	3.38351453739718e-78
ENSMUSG00000033491.13	657.725884900306	-2.6850413165533	0.141695371158721	-18.949393297722	4.46703655339043e-80	7.10842962922983e-78
ENSMUSG00000025085.16	1460.71532535585	-2.09037517193708	0.110373908411783	-18.9390337083861	5.43860904974358e-80	8.58843552763706e-78
ENSMUSG00000034382.14	236.020316127389	-4.14740910316689	0.219784087651237	-18.87037932313	1.99858776234097e-79	3.13218068481422e-77
ENSMUSG00000042367.12	551.453970347507	-3.15874682415961	0.167607364823341	-18.8461099396733	3.16261299349101e-79	4.91917105235703e-77
ENSMUSG00000003283.15	351.127929622616	-3.50776895371287	0.187071252493053	-18.7509780736788	1.90063192544933e-78	2.93420691356495e-76
ENSMUSG00000098678.1	270.808153713485	-5.94901141129167	0.31879938924294	-18.6606738031052	1.03418916074039e-77	1.58476082727677e-75
ENSMUSG00000035852.11	755.126174703286	-8.82530567602195	0.472996822882059	-18.6582768616662	1.0816320948087e-77	1.64527376068438e-75
ENSMUSG00000036473.16	1493.57232919081	-1.85073298662301	0.0993859007946913	-18.6216854888321	2.14359755621277e-77	3.23683230988128e-75
ENSMUSG00000027544.16	366.337687002307	-7.09613481861174	0.382724429464522	-18.541107575861	9.62195433781955e-77	1.44238673468459e-74
ENSMUSG00000031298.15	1967.55470258852	1.95196607290736	0.105473080471927	18.5067702979142	1.82096570118602e-76	2.71009478132627e-74
ENSMUSG00000026450.14	354.23691097089	-7.04761262218361	0.38175600574858	-18.4610392922674	4.25083036728163e-76	6.28120912913964e-74
ENSMUSG00000028111.4	1432.82971643427	1.72441912724949	0.0936554660373595	18.4123703635367	1.04545103235419e-75	1.53384719902916e-73
ENSMUSG00000023092.16	1690.77992558806	1.72116892840072	0.0935886865106194	18.3907798321907	1.55723942535114e-75	2.26863464734077e-73
ENSMUSG00000047501.3	1465.31094673592	-10.2982817562613	0.560685711646543	-18.3672983675984	2.40067891244892e-75	3.47292620012802e-73
ENSMUSG00000087166.9	1521.61176567075	-10.3511136956626	0.563641823120887	-18.3647012536231	2.51831683269298e-75	3.6178069665222e-73
ENSMUSG00000020782.18	792.437470233774	-3.31654403412755	0.180737873681702	-18.350022419586	3.29976205590064e-75	4.7077363896839e-73
ENSMUSG00000006342.15	314.47926330079	-3.44882442489397	0.188739569513426	-18.2729272604844	1.35958132777876e-74	1.92641499505199e-72
ENSMUSG00000033361.13	581.554295101117	-2.41385002022393	0.132193750891923	-18.2599404581341	1.72479143793922e-74	2.42726261745909e-72
ENSMUSG00000039621.13	359.960860957084	-3.67954153541382	0.202472032138726	-18.1730854209669	8.43206475123963e-74	1.17860894262766e-71
ENSMUSG00000014846.12	534.473138266622	-3.64941021972865	0.200910595876793	-18.1643491912523	9.88724683292177e-74	1.37273473310505e-71
ENSMUSG00000031803.8	247.898080414719	-5.60872540647328	0.309854892978968	-18.1011355107243	3.12165494562388e-73	4.30517839067475e-71
ENSMUSG00000000120.6	240.804165631987	-5.29589959685134	0.292824002217496	-18.0856062233512	4.13792133646844e-73	5.66895223096176e-71
ENSMUSG00000051375.15	328.552355062886	-2.84337709749643	0.157853257550734	-18.0127869491864	1.54642832819041e-72	2.10466860692599e-70
ENSMUSG00000028581.17	347.494898988406	-7.11307568062574	0.395180844527138	-17.9995457247859	1.96423441845624e-72	2.6558246676212e-70
ENSMUSG00000024529.14	35328.1678451143	1.5764665379241	0.0879509844010246	17.9243762723107	7.60992042584595e-72	1.02224950551607e-69
ENSMUSG00000027220.2	951.097804831588	2.22323123021211	0.12408434933461	17.9170962505261	8.67391120856445e-72	1.15765936239724e-69
ENSMUSG00000051076.8	213.858031538754	-4.72070879950796	0.263637794531489	-17.9060396400946	1.05800963919524e-71	1.40301573115589e-69
